"STATION","NAME","DATE","TMAX","TMIN"
"NLE00152490","ROTTERDAM, NL","2020-01-01","39","35"
"NLE00152490","ROTTERDAM, NL","2020-01-02","46","35"
"NLE00152490","ROTTERDAM, NL","2020-01-03","50","40"
"NLE00152490","ROTTERDAM, NL","2020-01-04","48","42"
"NLE00152490","ROTTERDAM, NL","2020-01-05","46","42"
"NLE00152490","ROTTERDAM, NL","2020-01-06","45","41"
"NLE00152490","ROTTERDAM, NL","2020-01-07","47","36"
"NLE00152490","ROTTERDAM, NL","2020-01-08","53","47"
"NLE00152490","ROTTERDAM, NL","2020-01-09","55","48"
"NLE00152490","ROTTERDAM, NL","2020-01-10","49","35"
"NLE00152490","ROTTERDAM, NL","2020-01-11","46","41"
"NLE00152490","ROTTERDAM, NL","2020-01-12","51","43"
"NLE00152490","ROTTERDAM, NL","2020-01-13","51","42"
"NLE00152490","ROTTERDAM, NL","2020-01-14","55","47"
"NLE00152490","ROTTERDAM, NL","2020-01-15","54","43"
"NLE00152490","ROTTERDAM, NL","2020-01-16","51","40"
"NLE00152490","ROTTERDAM, NL","2020-01-17","51","41"
"NLE00152490","ROTTERDAM, NL","2020-01-18","46","36"
"NLE00152490","ROTTERDAM, NL","2020-01-19","48","32"
"NLE00152490","ROTTERDAM, NL","2020-01-20","46","29"
"NLE00152490","ROTTERDAM, NL","2020-01-21","38","33"
"NLE00152490","ROTTERDAM, NL","2020-01-22","44","36"
"NLE00152490","ROTTERDAM, NL","2020-01-23","45","34"
"NLE00152490","ROTTERDAM, NL","2020-01-24","40","37"
"NLE00152490","ROTTERDAM, NL","2020-01-25","38","35"
"NLE00152490","ROTTERDAM, NL","2020-01-26","49","35"
"NLE00152490","ROTTERDAM, NL","2020-01-27","48","44"
"NLE00152490","ROTTERDAM, NL","2020-01-28","45","40"
"NLE00152490","ROTTERDAM, NL","2020-01-29","46","42"
"NLE00152490","ROTTERDAM, NL","2020-01-30","52","43"
"NLE00152490","ROTTERDAM, NL","2020-01-31","54","47"
"NLE00152490","ROTTERDAM, NL","2020-02-01","53","47"
"NLE00152490","ROTTERDAM, NL","2020-02-02","52","44"
"NLE00152490","ROTTERDAM, NL","2020-02-03","51","43"
"NLE00152490","ROTTERDAM, NL","2020-02-04","46","35"
"NLE00152490","ROTTERDAM, NL","2020-02-05","48","32"
"NLE00152490","ROTTERDAM, NL","2020-02-06","49","35"
"NLE00152490","ROTTERDAM, NL","2020-02-07","47","33"
"NLE00152490","ROTTERDAM, NL","2020-02-08","49","41"
"NLE00152490","ROTTERDAM, NL","2020-02-09","54","46"
"NLE00152490","ROTTERDAM, NL","2020-02-10","50","41"
